product_id,price,size,time,side,best_bid,best_ask,short_window,long_window,MACD,MACD_Signal
BTC-USD,65425.25,2.411e-05,2024-06-20 13:42:50.840731+00:00,SELL,65429.76,65435.05,65420.17506978805,65416.54149487915,3.6335749088975717,4.086113469819921
BTC-USD,65434.97,0.00028009,2024-06-20 13:42:52.662764+00:00,SELL,65429.77,65435.0,65422.45121289758,65417.90656933255,4.544643565030128,4.177819488861963
BTC-USD,65434.79,0.00225138,2024-06-20 13:42:54.328488+00:00,SELL,65429.8,65434.71,65424.34948783641,65419.15719382643,5.19229400997574,4.380714393084719
BTC-USD,65429.77,0.00105601,2024-06-20 13:42:55.934263+00:00,SELL,65429.76,65429.77,65425.18341278465,65419.94332761707,5.240085167584766,4.552588547984729
BTC-USD,65422.66,0.15285223,2024-06-20 13:42:56.802653+00:00,BUY,65420.59,65425.94,65424.795195433166,65420.144562608395,4.650632824770582,4.5721974033418995
BTC-USD,65419.86,1.525e-05,2024-06-20 13:42:58.401061+00:00,SELL,65419.85,65421.43,65424.03593459729,65420.12348389666,3.9124507006272324,4.4402480627989664
BTC-USD,65419.86,1.525e-05,2024-06-20 13:42:58.401061+00:00,SELL,65419.95,65424.34,65423.39348312078,65420.10396657098,3.289516549797554,4.210101760198684
BTC-USD,65433.42,0.00571302,2024-06-20 13:43:01.761483+00:00,SELL,65429.24,65435.05,65424.93602417912,65421.09033941758,3.8456847615452716,4.137218360468002
BTC-USD,65431.62,3.042e-05,2024-06-20 13:43:02.563733+00:00,BUY,65431.63,65435.05,65425.96432815157,65421.87031427553,4.094013876034296,4.128577463581261
BTC-USD,65431.62,3.042e-05,2024-06-20 13:43:02.563733+00:00,BUY,65435.03,65435.04,65426.83443151286,65422.592513218086,4.241918294777861,4.151245629820582
BTC-USD,65427.29,0.02390837,2024-06-20 13:43:05.884699+00:00,BUY,65429.64,65435.02,65426.90451897242,65422.94047520193,3.9640437704874785,4.1138052579539615
BTC-USD,65436.68,0.01426655,2024-06-20 13:43:07.260281+00:00,BUY,65450.0,65452.24,65428.40843913051,65423.95821777957,4.45022135094041,4.181088476551252
BTC-USD,65437.51,0.00015284,2024-06-20 13:43:08.599385+00:00,BUY,65437.51,65445.14,65429.80867926428,65424.9620534996,4.846625764679629,4.314195934176928
BTC-USD,65437.74,0.00286999,2024-06-20 13:43:09.605900+00:00,SELL,65436.22,65437.74,65431.02888245439,65425.90856805519,5.120314399202471,4.475419627182037
BTC-USD,65437.36,0.01069809,2024-06-20 13:43:10.221966+00:00,SELL,65436.22,65439.68,65432.00290053833,65426.756822273324,5.246078265008691,4.629551354747368
BTC-USD,65440.71,1.5e-07,2024-06-20 13:43:11.659616+00:00,SELL,65436.22,65442.95,65433.342454301666,65427.79039099382,5.552063307848584,4.8140537453676115
BTC-USD,65442.47,0.00151292,2024-06-20 13:43:13.679030+00:00,SELL,65436.22,65442.48,65434.74669210141,65428.87776943872,5.868922662695695,5.0250275288332285
BTC-USD,65444.47,0.06107904,2024-06-20 13:43:14.070282+00:00,SELL,65441.51,65441.52,65436.24258562427,65430.03274948029,6.209836143978464,5.261989251862276
BTC-USD,65448.57,1.558e-05,2024-06-20 13:43:16.408313+00:00,BUY,65448.13,65452.46,65438.139110912845,65431.40587914842,6.733231764425,5.556237754374821
BTC-USD,65443.24,1.16e-06,2024-06-20 13:43:17.112521+00:00,BUY,65443.59,65449.38,65438.9238630801,65432.28248069298,6.641382387118938,5.773266680923644
BTC-USD,65434.02,0.04629474,2024-06-20 13:43:18.683386+00:00,BUY,65434.03,65440.02,65438.16942260624,65432.41118582683,5.758236779409344,5.770260700620785
BTC-USD,65437.96,0.00013973,2024-06-20 13:43:20.073310+00:00,SELL,65434.04,65437.92,65438.13720374374,65432.822209098915,5.314994644824765,5.679207489461581
BTC-USD,65434.94,0.00479386,2024-06-20 13:43:21.654309+00:00,BUY,65435.13,65440.02,65437.6453262447,65432.979082499,4.666243745705287,5.476614740710323
BTC-USD,65439.52,0.06799309,2024-06-20 13:43:23.262609+00:00,SELL,65434.17,65439.69,65437.93373759167,65433.463594906476,4.470142685197061,5.275320329607671
BTC-USD,65433.3,3.041e-05,2024-06-20 13:43:24.544482+00:00,BUY,65435.78,65438.03,65437.220854885265,65433.45147676526,3.769378120006877,4.974131887687512
BTC-USD,65436.13,1.83e-06,2024-06-20 13:43:25.585954+00:00,SELL,65427.38,65435.76,65437.05303105676,65433.649885893756,3.4031451630071388,4.659934542751437
BTC-USD,65428.88,0.00478955,2024-06-20 13:43:27.235227+00:00,BUY,65428.9,65434.55,65435.79564166342,65433.296561012736,2.4990806506830268,4.227763764337755
BTC-USD,65428.88,0.0023,2024-06-20 13:43:28.323696+00:00,BUY,65428.88,65432.01,65434.73169679212,65432.969408345125,1.7622884469965356,3.7346687008695114
BTC-USD,65434.54,2.86e-06,2024-06-20 13:43:30.214540+00:00,BUY,65433.74,65437.25,65434.70220497795,65433.08574846771,1.6164565102371853,3.3110262627430465
BTC-USD,65438.09,0.00963918,2024-06-20 13:43:31.613662+00:00,BUY,65441.32,65449.21,65435.22340421211,65433.4564337664,1.7669704457148327,3.0022150993374037
BTC-USD,65436.07,0.0107,2024-06-20 13:43:32.261617+00:00,BUY,65438.44,65442.6,65435.35364971794,65433.650031265184,1.7036184527532896,2.742495770020581
BTC-USD,65433.39,0.06092945,2024-06-20 13:43:34.467641+00:00,BUY,65433.41,65439.25,65435.05154976133,65433.63076968998,1.4207800713484176,2.4781526302861483
BTC-USD,65441.52,1.558e-05,2024-06-20 13:43:36.422799+00:00,BUY,65447.04,65452.44,65436.046695951896,65434.21515712035,1.8315388315459131,2.3488298705381014
BTC-USD,65441.53,0.002657,2024-06-20 13:43:36.917899+00:00,BUY,65444.01,65445.37,65436.89028119006,65434.75699733366,2.133283856404887,2.3057206677114586
BTC-USD,65434.52,7.397e-05,2024-06-20 13:43:39.106004+00:00,SELL,65435.18,65438.29,65436.525622545436,65434.73944197561,1.7861805698266835,2.2018126481345037
BTC-USD,65433.37,1.525e-05,2024-06-20 13:43:39.403098+00:00,SELL,65431.1,65437.21,65436.04014215383,65434.63800182927,1.4021403245642432,2.041878183420452
BTC-USD,65437.76,0.00159514,2024-06-20 13:43:41.505700+00:00,BUY,65437.76,65439.63,,,,
