product_id,price,size,time,side,best_bid,best_ask,short_window,long_window,MACD,MACD_Signal,high,low,AO,open,RVI,RVI_Signal
BTC-USD,65113.3,5.607e-05,2024-06-19 18:20:18.862523+00:00,SELL,65110.37,65115.75,65113.3,65113.3,0.0,0.0,,,,,,
BTC-USD,65120.15,0.00226268,2024-06-19 18:20:23.891062+00:00,BUY,65120.17,65121.14,65114.35384615385,65113.80740740741,0.5464387464380707,0.10928774928761414,,,,65113.3,,
BTC-USD,65122.31,0.00018915,2024-06-19 18:20:29.606359+00:00,SELL,65122.3,65122.31,65115.57786982249,65114.43722908093,1.1406407415561262,0.3155583477413166,,,,65120.15,,
BTC-USD,65125.46,0.00025597,2024-06-19 18:20:32.690939+00:00,SELL,65125.41,65125.42,,,,,,,,,,
