product_id,price,size,time,side,best_bid,best_ask,short_window,long_window,MACD,MACD_Signal,high,low,AO,open,RVI,RVI_Signal
BTC-USD,65465.46,1.104e-05,2024-06-20 13:48:03.754727+00:00,SELL,65463.51,65468.18,65465.82378092755,65462.03571021362,3.7880707139338483,4.2519799370432665,65471.19,65459.14,,65470.0,,
BTC-USD,65463.49,0.00027991,2024-06-20 13:48:05.183769+00:00,SELL,65463.48,65463.49,65465.46473770793,65462.14343538298,3.321302324948192,4.065844414624252,65471.19,65459.14,,65465.46,,
BTC-USD,65454.67,0.0014556,2024-06-20 13:48:06.738753+00:00,SELL,65459.35,65460.68,65463.804008829786,65461.58984757683,2.214161252952181,3.6955077822898375,65471.19,65454.67,,65463.49,,
BTC-USD,65451.83,0.00067513,2024-06-20 13:48:07.927518+00:00,SELL,65446.11,65448.04,65461.9618536252,65460.86689590447,1.0949577207284165,3.1753977699775535,65471.19,65451.83,,65454.67,,
BTC-USD,65447.06,1.524e-05,2024-06-20 13:48:09.425934+00:00,SELL,65446.11,65447.06,65459.66926075979,65459.84416287451,-0.17490211472613737,2.5053377930368157,65471.19,65447.06,,65451.83,,
BTC-USD,65444.17,1.524e-05,2024-06-20 13:48:10.426626+00:00,SELL,65444.16,65444.17,65457.284759104434,65458.6831137727,-1.3983546682648011,1.7245993007764924,65471.19,65444.17,,65447.06,,
BTC-USD,65434.95,0.00072598,2024-06-20 13:48:12.121690+00:00,SELL,65434.94,65434.95,65453.848642319135,65456.92510534509,-3.076463025958219,0.7643868354295501,65471.19,65434.95,,65444.17,,
BTC-USD,65434.95,1.525e-05,2024-06-20 13:48:13.426166+00:00,SELL,65434.94,65434.95,65450.94115888542,65455.29731976397,-4.356160878553055,-0.25972270736697095,65471.19,65434.95,,65434.95,-0.13803457772618755,
BTC-USD,65436.21,0.00010465,2024-06-20 13:48:14.888709+00:00,SELL,65429.8,65436.33,65448.6748267492,65453.8834442259,-5.208617476702784,-1.2495016612341336,65471.19,65434.95,,65434.95,-0.15162209170425642,
BTC-USD,65429.63,0.00375009,2024-06-20 13:48:15.953752+00:00,BUY,65429.57,65433.16,65445.74485340317,65452.08689280176,-6.342039398587076,-2.268009208704722,65471.19,65429.63,,65436.21,-0.15256483629023707,
BTC-USD,65429.4,1.525e-05,2024-06-20 13:48:17.432155+00:00,SELL,65429.39,65429.4,65443.230260571916,65450.40638222385,-7.176121651937137,-3.249631697351205,65471.19,65429.4,,65429.63,-0.14382736408487512,
BTC-USD,65419.31,0.00144674,2024-06-20 13:48:18.456757+00:00,SELL,65414.78,65420.25,65439.55022048393,65448.10294650357,-8.552726019639522,-4.310250561808869,65471.19,65419.31,,65429.4,-0.13630532008007656,
BTC-USD,65414.29,1.525e-05,2024-06-20 13:48:20.440827+00:00,SELL,65414.28,65414.29,65435.66403271717,65445.5982837996,-9.93425108242809,-5.435050665932714,65471.19,65414.29,,65419.31,-0.12851685908055077,
BTC-USD,65406.45,1.525e-05,2024-06-20 13:48:21.427187+00:00,SELL,65405.36,65408.0,65431.1695661453,65442.69841092555,-11.528844780252257,-6.653809488796623,65471.19,65406.45,,65414.29,-0.11860435393855355,
BTC-USD,65405.36,0.00148023,2024-06-20 13:48:23.030748+00:00,SELL,65405.35,65405.36,65427.198863661404,65439.93260270885,-12.733739047442214,-7.869795400525741,65471.19,65405.36,,65406.45,-0.10880868440407836,
BTC-USD,65410.45,0.00012312,2024-06-20 13:48:24.260719+00:00,SELL,65405.66,65409.82,65424.6221154058,65437.748706211896,-13.126590806095919,-8.921154481639777,65471.19,65405.36,,65405.36,-0.09479299113772967,
